name,min,max,scale
W1,1,500,log
L1,0.5,10,log
W3,1,500,log
L3,0.5,10,log
W5,1,500,log
L5,0.5,10,log
W6,1,500,log
L6,0.5,10,log
W7,1,500,log
L7,0.5,10,log
W8a,1,500,log
L8a,0.5,10,log
W9a,1,500,log
L9a,0.5,10,log
W8b,1,500,log
L8b,0.5,10,log
W9b,1,500,log
L9b,0.5,10,log
W11,1,500,log
L11,0.5,10,log
W12,1,500,log
L12,0.5,10,log
Cc1a,1e-12,100e-12,log
Rc1a,10,100000,log
Cc1b,1e-12,100e-12,log
Rc1b,10,100000,log
Cc2,1e-12,100e-12,log
Rc2,10,100000,log
Ibias1,10e-6,5e-3,log
Wbias1,1,500,log
Lbias1,0.5,10,log
Ibias2,10e-6,5e-3,log
Wbias2,1,500,log
Lbias2,0.5,10,log
Ibias3,10e-6,5e-3,log
Wbias3,1,500,log
Lbias3,0.5,10,log
